ego	alter	pair	ell	t0ix	tfix	nix	stE	E
0xd2	0xdf7f0d3e8fb38fd	-0x13a39f86a18e8a1a	0	224	424	1	0	0
0xc9	0x4a34e5e2e56fb9ba	-0x13a69fa3256b901	0	161	343	1	0	0
0xf2	-0x40111579a69acb96	-0x13a78c524d53a17a	0	85	377	1	0	0
0x100	0x45ba7bdf2dc753f5	-0x13aa6a69b1e9315b	0	267	576	1	1	1
0x2c	0xd0604d5bde67188	-0x13ace1543620ca03	0	65	82	1	0	0
0x22	-0x237090de7757ab50	-0x13ae84fa88018c09	0	397	397	1	0	0
0x27	-0x39d8924e94b3689d	-0x13b058fee970668a	0	264	285	1	0	0
0x45	-0x1765f98cfc204466	-0x13b0ba5e36ae9a98	0	347	348	1	0	0
0x5b	-0x2ba742e0ffec3eb1	-0x13b0dfb88c901e90	145	191	342	9	1	1
0x10a	0x4485a53f73698e41	-0x13b16c7856bf58e2	84	150	564	2	0	0
0xef	-0x6b4c3e08baca2974	-0x13bc70e4400e3284	0	237	475	2	0	0
0x2d	-0x4f550eefe16d6b40	-0x13bd1af1a6bb4487	2	83	111	2	0	0
0x114	-0x3d309ff7fc73c928	-0x13c76136eb609ee4	0	59	549	1	0	0
0x5b	0x7602aa028c7663eb	-0x13c9e3697ac42f41	0	76	82	1	0	0
0x22	-0x5a248822ca81c8df	-0x13cca7d0d625e339	2	94	96	2	0	0
0x32	-0x333e12a3b9a77251	-0x13d513c156f0ade5	0	448	448	2	0	0
0x5f	0xb49d5250ce66c58	-0x13db5badf8694f46	0	295	295	1	1	1
0x4e	0xe9614b95cdc6af7	-0x13e41bb29b0ad782	6	460	466	2	0	0
0x109	0x5c920393410c4b1a	-0x13e447a4b0e880a8	0	146	493	1	0	0
0x1f	0x3fd7c74322c9566e	-0x13f120761a04cd	0	249	249	1	0	0
0xf2	-0x76a15a4cb6ccc309	-0x13f7dabdcfe13b66	0	124	416	1	0	0
0x3e	0x2497ea8380cdef65	-0x13f8199ba14b7626	0	99	99	1	1	1
0xd3	-0x2cef060c21dfcb26	-0x14027d906dc7d40f	0	263	463	2	1	1
0x1f	-0x4bd01a8564567c2b	-0x14090b62cf2738b9	262	98	360	2	0	0
0x5c	-0x258e694c69b6d210	-0x140e20e54f1e8df9	0	139	139	1	0	0
0xee	0x6ebf4d80e77996e0	-0x1410b24b136d215e	0	111	397	1	0	0
0x104	0x72db9bebefbe9ee3	-0x14140bf2f02c0540	0	164	478	1	1	1
0xd4	0x6b119f2455c5a083	-0x14205916c4fa50f8	0	318	522	1	0	0
0x24	0x73b40002c8d2ea42	-0x142063f47bd014df	0	105	118	1	0	0
0x54	0x286819bc191cd164	-0x14275e67db8bc5cf	0	127	141	1	1	1
0x111	0x535040b0529ee0c3	-0x1427af617615abf8	0	278	631	1	1	1
0x10d	-0x6b21daed3b25e2d8	-0x14295c3f61eb6b90	0	208	563	1	0	0
0xc3	0x6bb96873b0c3232f	-0x142a5b12769d0484	0	457	629	1	0	0
0xec	-0x749217ec14109af2	-0x142dde52e5de866c	0	127	417	2	0	0
0x1c	-0x3ab420289a59a20	-0x143023547cfc33fa	0	321	321	1	0	0
0x4d	0x8e605d01205eb4	-0x1435d883be9a53cd	0	71	71	1	1	1
0x58	-0x69b23e6df7800d7f	-0x1435ebac4423a061	86	245	348	2	0	0
0x3b	0x33e76a4654eaded7	-0x143a32519393b13c	0	570	570	1	0	0
0xc2	0x1aed9af5816e340f	-0x144716bb32d5a94c	0	122	314	1	0	0
0xfb	0x149cc8a85e8dcee	-0x1447adcc5ea8aee1	0	53	322	1	0	0
0x3c	-0x6ccafd9b4cf141ac	-0x144d7971022ebe1a	0	328	328	2	0	0
0x20	-0x3b59ad21580bf73d	-0x145120a759656f2a	0	136	136	1	0	0
0xff	-0x481537cd22e57144	-0x1455bbe5685ca5d4	0	256	570	1	0	0
0xe0	-0x50ce3ac4120f88d6	-0x1459b24efee953d5	0	89	323	1	1	1
0x3e	0xc4abba84684dc94	-0x145ccb7e753044e9	84	319	403	2	0	0
0x25	-0x67be48b25b4c68db	-0x145e430a6ce20896	0	137	140	1	0	0
0x1c	-0x2b3c0e64d14f9382	-0x14652cb4c1672c91	254	215	469	5	0	0
0x104	-0x4167cc959396b3e4	-0x146c1c38728a1668	0	279	593	1	0	0
0x53	-0x1c0d632d4cb81ef	-0x146f526d1f22c262	0	463	463	1	1	1
0x38	0x47d77ef9a9026581	-0x1470d966c516f7c3	12	599	614	4	0	0
0x1c	-0x670ec1afe3577ff7	-0x1477b67ee9e0f2e1	0	453	453	1	0	0
0xfa	-0x3241663ce43bdfdb	-0x14824a9d188a5ab6	0	63	360	1	0	0
0x30	0x50ffdd08489d868f	-0x1484144cec67840	0	534	554	1	1	1
0x2b	0x369c6dabb054bcdf	-0x14880610cd7867f2	0	129	148	1	1	1
0x3b	0x6521a5d9e62a8c8f	-0x148debca9d5ecf81	0	483	483	1	0	0
0x22	0x7717e453876d6a8b	-0x14911b67e524a21d	0	363	363	1	0	0
0x2f	-0x5e3071c8d5c31640	-0x1497273fc660b4f	0	164	164	1	0	0
0x2f	0x5fd8ca2e16702d96	-0x1498f8226b2fa15b	0	482	482	1	0	0
0xf1	-0x2f7a5240ea00f851	-0x149eda66fbbc144d	163	171	621	2	0	0
0x35	0x29df6baa6fcfb9ce	-0x14a0040dc193bc8b	10	491	501	3	1	1
0x18	0x6f8534486e95b85b	-0x14a275346515c6d7	0	125	126	1	0	0
0x3e	-0x6b7dd84709667b93	-0x14a7c9b33bf09a37	3	398	401	2	0	1
0xfa	-0x5369f8119a82c8c	-0x14b0ce6632f64263	0	313	610	1	1	1
0x4c	0x71995939303488a6	-0x14b2dacc54a0776	0	165	165	1	0	0
0x4b	0x76eca6afb0a6b3ba	-0x14b34e59eb989a9f	56	523	587	2	0	0
0xff	0x5eab11be069e9862	-0x14b66277479c856e	0	71	385	1	0	0
0xf9	-0x6409d0ea0ad27b90	-0x14b8a3672e57967d	0	280	571	1	0	0
0x115	0x43a92a42161969a4	-0x14bbdc73ec73ce4e	0	223	592	1	0	0
0xfa	-0x1fe561147b02674	-0x14c00963046b9c38	0	70	367	1	0	0
0x2d	0x6987355baf67fd5f	-0x14ca6d4c8b4b58da	24	317	367	3	0	0
